handle,state,reason,position,target,blocker,desired,plan_index,lateness
118,STOPPED,blocked_by_stopped_train,64:67,91:22,40,65:67,,
119,STOPPED,blocked_by_stopped_train,71:67,60:34,22,70:67,,
120,READY_TO_DEPART,offmap_no_plan,,106:92,,,,
121,STOPPED,blocked_by_stopped_train,74:67,7:110,138,73:67,,
124,MALFUNCTION,malfunction_on_map,66:67,96:108,,,,
125,STOPPED,blocked_by_malfunction_train,81:112,32:45,145,80:112,,
126,STOPPED,blocked_by_stopped_train,75:68,32:45,82,74:68,,
127,STOPPED,blocked_by_stopped_train,41:65,82:42,48,42:65,,
128,MALFUNCTION,malfunction_on_map,80:111,99:47,,,,
130,STOPPED,blocked_by_stopped_train,18:22,44:16,63,18:21,,
131,STOPPED,blocked_by_stopped_train,77:68,10:19,84,76:68,,
132,STOPPED,blocked_by_stopped_train,80:117,7:110,76,80:116,,
133,MALFUNCTION_OFF_MAP,malfunction_off_map,,84:121,,,,
137,STOPPED,blocked_by_stopped_train,53:128,76:86,34,53:129,,
138,STOPPED,blocked_by_stopped_train,73:67,30:45,64,72:67,,
139,MALFUNCTION,malfunction_on_map,19:21,82:42,,,,
140,MALFUNCTION,malfunction_on_map,67:67,85:141,,,,
142,READY_TO_DEPART,offmap_no_plan,,110:140,,,,
143,READY_TO_DEPART,offmap_no_plan,,46:68,,,,
145,MALFUNCTION,malfunction_on_map,80:112,96:108,,,,
146,READY_TO_DEPART,offmap_no_plan,,47:91,,,,
147,STOPPED,blocked_by_stopped_train,55:125,109:70,104,55:126,,
148,MALFUNCTION_OFF_MAP,malfunction_off_map,,20:76,,,,
149,STOPPED,held_by_late_guard,43:65,92:63,,44:65,,
